English,Bengali
ABASK,অভিভূত হওয়া
ABASSI,আব্বাসি
ABASSIN,আবাসিন
ABASTARD,জারজ
ABASTARDIZE,নোংরামি করা
ABAT-VENT,জানালার খড়খড়িবিশেষ
ABATABLE,বিরোধিতাযোগ্য
ABATAGE,অ্যাবাটেজ
ABATE,ক্ষীণ করা
ABATED,কমান
ABATEMENT,হ্রাস
ABATEMENT OF A NUISANCE,একটি উত্পাত উপশম
ABATEMENTS,উপশম
ABATERS,অ্যাবেটার
ABATES,রোধ করে
ABATING,হ্রাসপ্রাপ্ত
ABATIS,কর্তিত বৃদ্ধনির্মিত প্রতিরোধ-বূ্যহ
ABATISED,নিন্দিত
ABATISES,কর্তিত বৃদ্ধনির্মিত প্রতিরোধ-বূ্যহ
ABATJOUR,আবাতজুর
ABATJOURS,আবাসস্থল
ABATOR,ক্ষয়কারী
ABATORS,অ্যাবেটর
ABATTAGE,ক্ষয়ক্ষতি
ABATTISED,ক্ষতবিক্ষত
ABATTISES,কবরস্থান
ABATTOIR,কসাইখানা
ABATTOIRS,কসাইখানা
ABATTUE,ক্ষতস্থান
ABATUA,আবাতুয়া
ABATURE,অক্ষত
ABAVE,আবাবে
ABAXIAL,অক্ষীয়
ABAY,একটি উপসাগর
ABAYA,আবায়া
ABAZE,হতবাক হওয়া
ABB,পড়েন
ABBACIES,মঠাধ্যক্ষের কার্যকাল
ABBACY,মঠাধ্যক্ষের পদ
ABBADIDE,আব্বাদী
ABBASSI,আব্বাসি
ABBATIAL,মঠসংক্রান্ত
ABBATICAL,অবসরকালীন
ABBE,মঠ
ABBESS,মঠধারিণী
ABBESSES,মঠ
ABBEVILLIAN,অ্যাবেভিলিয়ান
ABBEY,মঠ
ABBEYS,মঠ
ABBIE,অ্যাবি
ABBOCCATO,অ্যাবোকাটো
ABBOGADA,অ্যাবোগাডা
ABBOT,মঠাধ্যক্ষ
ABBOTCIES,মঠশালা
ABBOTCY,মঠশাসন
ABBOTRIC,মঠলিপি
ABBOTS,মঠাধ্যক্ষ
ABBOTSHIP,"মঠাধ্যক্ষ,মঠধারী"
ABBOTSHIPS,মঠশাসন
ABBOTT,অ্যাবট
ABBR,সংক্ষিপ্তকরণ
ABBREV,সংক্ষিপ্ত
ABBREVIATABLE,সংক্ষিপ্তসারযোগ্য
ABBREVIATE,খাট করা
ABBREVIATED,সংক্ষিপ্ত
ABBREVIATELY,সংক্ষেপে
ABBREVIATES,সংক্ষিপ্ত করে
ABBREVIATING,সংক্ষেপণকারী
ABBREVIATION,সংক্ষেপণ
ABBREVIATIONS,সংক্ষিপ্ত রূপ
ABBREVIATOR,সংক্ষেপক
ABBREVIATORS,সংক্ষেপক
ABBREVIATORY,সংক্ষিপ্তসার
ABBREVIATURE,সংক্ষিপ্ত রূপ
ABBROACHMENT,অপহরণ
ABBS,পড়েন
ABBY,অ্যাবি
ABC,অ আ ক খ
ABC BOOK,বর্ণপরিচয়
ABC'S,এবিসি এর
ABCESS,ক্ষয়
ABCOULOMB,অ্যাবকুলম্ব
ABD,আব্দ
ABDAL,আবদাল
ABDALI,আবদালি
ABDARIA,আবদারিয়া
ABDAT,আবদাত
ABDERIAN,আবদেরিয়ান
ABDEST,অধস্তন
ABDICABLE,ত্যাগযোগ্য
ABDICANT,পদত্যাগকারী
ABDICATE,পদত্যাগ করা
ABDICATED,পদত্যাগ করেছেন
ABDICATES,পদত্যাগ করে
ABDICATING,পদত্যাগ
ABDICATION,পদত্যাগ
ABDICATIONS,পদত্যাগ
ABDICATIVE,ত্যাগমূলক
ABDICATOR,পদত্যাগকারী
ABDITIVE,অধম
ABDITORY,আত্মত্যাগকারী
ABDOM,পেট
ABDOMEN,উদর
ABDOMENS,উদর
ABDOMINA,উদর
ABDOMINAL,পেটের
ABDOMINAL AORTA,পেটের মহাধমনী
ABDOMINAL BREATHING,পেটে শ্বাস
ABDOMINAL CARDIAC,পেটের কার্ডিয়াক
ABDOMINAL CAVITY,পেটের গহ্বর
ABDOMINAL CHILLS,পেটে শরীর ঠান্ডা
ABDOMINAL DELIVERY,পেটের বিতরণ
ABDOMINAL EXTERNAL OBLIQUE MUSCLE,পেটের বাইরের তেরছা পেশী
ABDOMINAL MUSCLE,পেটের পেশী
ABDOMINAL NERVE PLEXUS,পেটের নার্ভজালক
ABDOMINAL PREGNANCY,পেটের গর্ভাবস্থার
ABDOMINAL WALL,উদর প্রাচীর
ABDOMINALES,পেটের সমস্যা
ABDOMINALIA,পেটের ব্যথা
ABDOMINALIAN,পেটের যন্ত্রণাদায়ক
ABDOMINALLY,পেটের দিক থেকে
ABDOMINALS,পেটের অংশ
ABDOMINOANTERIOR,পেটের সামনের অংশ
ABDOMINOCARDIAC,পেটের হৃদরোগ
ABDOMINOCENTESIS,পেটের পতন
ABDOMINOCYSTIC,পেটের সিস্টিক
ABDOMINOGENITAL,পেটের ভেতরের
ABDOMINOHYSTERECTOMY,অ্যাবডোমিনোহিস্টেরেক্টমি
ABDOMINOHYSTEROTOMY,অ্যাবডোমিনোহিস্টেরোটোমি
ABDOMINOPOSTERIOR,পেটের পশ্চাৎভাগ
ABDOMINOSCOPE,অ্যাবডোমিনোস্কোপ
ABDOMINOSCOPY,অ্যাবডোমিনোস্কোপি
ABDOMINOTHORACIC,পেটের বক্ষ
ABDOMINOUS,নাদাপেটা
ABDOMINOVAGINAL,পেটের অস্থিরতা
ABDOMINOVESICAL,পেটের ভেতরের অংশবিশেষ
ABDUCE,অপহরণ করা
ABDUCED,অপহরণ করা হয়েছে
ABDUCENS,আবদুসেন
ABDUCENT,পশ্চাদপসরণকারী
ABDUCENTES,অপহরণকারী
ABDUCES,অপহরণ করে
ABDUCING,অপহরণ
ABDUCT,অপহরণ করা
ABDUCTED,অপহৃত
ABDUCTEES,অপহৃত
ABDUCTING,অপহারী
ABDUCTION,অপহরণ
ABDUCTIONS,অপহরণ
ABDUCTOR,অপহরণকারী
ABDUCTOR MUSCLE,তস্কর পেশী
ABDUCTORES,অপহরণকারীরা
ABDUCTORS,অপহরণকারীরা
ABDUCTS,অপহরণ
ABE,আবে
ABEAM,জাহাজের দৈর্ঘ্যের সমকোণে
ABEAR,ভল্লুক
ABEARANCE,ধৈর্য
ABECEDARIA,অ্যাবেসেডারিয়া
ABECEDARIAN,প্রাথমিক শিক্ষার্থী
ABECEDARIANS,অ আ ইত্যাদি পড়ুয়া
ABECEDARIES,পূর্বসূরী
ABECEDARIUM,অ্যাবেসেডারিয়াম
ABECEDARIUS,অ্যাবেসেডারিয়াস
ABECEDARY,পূর্বসূরী
ABED,একটি বিছানা
ABEDE,আবেদে
ABEDGE,ত্যাগ করা
ABEER,একটি বিয়ার
ABEGGE,আবেগে
ABEIGH,আবেইগ
ABEL,আবেল
ABEL JANSZOON TASMAN,আবেল তাসমান জ্যানসজুন
ABELIA,অ্যাবেলিয়া
ABELIAN,মুহাম্মদ হিদায়াত উল্লাহ
ABELICEA,অ্যাবেলিসিয়া
ABELMOSCHUS ESCULENTUS,ঢ্যাঁড়শ
ABELONIAN,আবেলোনিয়ান
ABELTREE,অ্যাবেলট্রি
ABENCERRAGES,অ্যাবেনসারেজ
ABEND,নত করা
ABENDS,বাঁকানো
ABENTERIC,প্রসবকালীন
ABEPITHYMIA,অ্যাবেপিথাইমিয়া
ABERDONIAN,অ্যাবারডোনিয়ান
ABERIA,অ্যাবেরিয়া
ABERRANCE,বিচ্যুতির ঘটনা
ABERRANCIES,বিচ্যুতি
ABERRANCY,বিচ্যুতির অবস্থা
ABERRANT,নীতিভ্রষ্ট
ABERRANTLY,অস্বাভাবিকভাবে
ABERRANTS,বিচ্যুত
ABERRATE,বিকৃত করা
ABERRATED,অস্বাভাবিক মূর্তি করা
ABERRATES,বিপথগামী হত্তয়া
ABERRATING,অস্বাভাবিক মূর্তি করা
ABERRATION,স্খলন
ABERRATIONAL,কাসাস:
ABERRATIONS,বিচ্যুতি
ABERRATIVE,বিকৃতকারী
ABERRATOR,বিচ্যুতকারী
ABERROSCOPE,অ্যাবেরস্কোপ
ABERUNCATE,অসম্পূর্ণ
ABERUNCATOR,অ্যাবেরুনকেটর
ABESSE,অ্যাবেস
ABESSIVE,নিষ্ঠুর
ABET,পোষকতা করা
ABETMENT,পোষকতা
ABETMENTS,প্ররোচনা
ABETS,সাহায্য করা
ABETTAL,প্ররোচনামূলক
ABETTALS,অভিযুক্ত
ABETTED,সাহায্য করা
ABETTER,কুকর্মে
ABETTERS,সাহায্যকারী
ABETTING,পোষক
ABETTOR,যোগদানকারী
ABETTORS,পোষক
ABEVACUATION,অবসর গ্রহণ
ABEY,অ্যাবে
ABEYANCE,স্থগিতকরণ
ABEYANCES,সাময়িক অক্রিয়তা
ABEYANCY,স্থগিতকরণ
ABEYANT,স্থগিত
ABFARAD,আবফারাদ
ABHENRIES,অ্যাবেনরিজ
ABHENRY,অ্যাবেনরি
ABHENRYS,অ্যাবেনরিস
ABHINAYA,অভিনয়
ABHISEKA,অভিষেক
ABHOMINABLE,নিন্দনীয়
ABHOR,ঘৃণাসহকারে পরিহার করা
ABHORRED,ঘৃণা
ABHORRENCE,ঘৃণা
ABHORRENCES,ঘৃণা
ABHORRENCY,ঘৃণা
ABHORRENT,জঘন্য
ABHORRENTLY,জঘন্যভাবে
ABHORRER,ঘৃণ্য ব্যক্তি
ABHORRERS,ঘৃণাকারীরা
ABHORRIBLE,ভয়াবহ
ABHORRING,ঘৃণাসহকারে পরিহার করা
ABHORS,ঘৃণা করে
ABID,আবিদ
ABIDAL,অ্যাবিডাল
ABIDANCE,মানিয়া চলা
ABIDANCES,পালন
ABIDDEN,নিষেধিত
ABIDE,মেনে চলা
ABIDE BY,মেনে চলা
ABIDED,বরদাস্ত করা
ABIDER,পালনকারী
ABIDERS,অনুসারী
ABIDES,মানছে
ABIDI,আবিদি
ABIDING,পালনকারী
ABIDING PLACE,স্থায়ী অবস্থান
ABIDINGLY,চিরস্থায়ীভাবে
ABIDINGNESS,স্থায়ীত্ব
ABIE,অ্যাবি
ABIEGH,আবিগ
ABIENCE,পরিবেশ
ABIENT,অপ্রচলিত
ABIES,অ্যাবিস
ABIETATE,অবসর গ্রহণ করা
ABIETIC,মদ্যপান-প্রবণ
ABIETINEAE,অবসরপ্রাপ্ত ব্যক্তি
ABIETINEOUS,অভদ্র
ABIETINIC,অব্যবহৃত
ABIETITE,অ্যাবিয়েটাইট
ABIEZER,অবহেলা করা
ABIGAIL,আবিগেল
ABIGAILS,অ্যাবিগেলস
ABIGAILSHIP,অনুসরণ
ABIGEAT,অ্যাবিগেট
ABIGEUS,অ্যাবিজিয়াস
ABILENE,অ্যাবিলিন
ABILIMENT,ক্ষমতা
ABILITABLE,সক্ষম
ABILITIES,ক্ষমতার
ABILITY,ক্ষমতা
ABILITY TO WORK,কর্মক্ষমতা
ABILLA,আবিলা
ABILO,আবিলো
ABIME,অহংকার
ABINTESTATE,কৃতদাসত্বপ্রাপ্ত ব্যক্তি
ABIOGENESES,অজীবজনি
ABIOGENESIS,অজীবজনি
ABIOGENESIST,অ্যাবায়োজেনেসিস্ট
ABIOGENETIC,অ্যাবায়োজেনেটিক
ABIOGENETICAL,অজৈব-জেনেটিক
ABIOGENETICALLY,জীবাণুগতভাবে
ABIOGENIST,জীবজগতের উৎপত্তিবিদ
ABIOGENOUS,জীবাণু-সংক্রান্ত
ABIOGENY,জীবজগত
ABIOLOGICAL,জীববিজ্ঞান সংক্রান্ত
ABIOLOGICALLY,জীববিজ্ঞানগতভাবে
ABIOLOGY,জীববিজ্ঞান
ABIOSES,অ্যাবায়োসিস
ABIOSIS,জীবাণু
ABIOTIC,জীবক্রিয়া
ABIOTICAL,অজৈবিক
ABIOTICALLY,অজৈবিকভাবে
ABIOTROPHIC,অ্যাবায়োট্রফিক
ABIOTROPHY,অ্যাবায়োট্রফি
ABIPON,অ্যাবিপন
ABIRRITANT,বিরক্তিকর
ABIRRITATE,বিরক্ত হওয়া
ABIRRITATED,বিরক্ত
ABIRRITATING,বিরক্তিকর
ABIRRITATION,জ্বালা
ABIRRITATIVE,বিরক্তিকর
ABIT,আবিত
ABITIBI,আবিতিবি
ABJECT,পতিত
ABJECTED,নীচ
ABJECTEDNESS,অবজ্ঞা
ABJECTING,নীচ
ABJECTION,অপমান
ABJECTIONS,প্রত্যাখ্যান
ABJECTIVE,সারমর্ম
ABJECTLY,নিষ্ঠুরভাবে
ABJECTNESS,দুর্দশাকে মোকাবেলা
ABJECTS,নীচ
ABJOINT,অন্তঃস্থ
ABJUDGE,বিচার করা
ABJUDGED,প্রত্যাখ্যাত
ABJUDGING,প্রত্যাখ্যান করা
ABJUDICATE,সিদ্ধান্ত প্রত্যাখ্যান করা
ABJUDICATED,রায় প্রত্যাখ্যান করা
ABJUDICATING,সিদ্ধান্ত প্রত্যাখ্যানকারী
ABJUDICATION,বিচার ত্যাগ
ABJUDICATOR,বিচারক
ABJUGATE,ত্যাগ করা
ABJUNCT,সংযোজন
ABJUNCTION,সংযোজন
ABJUNCTIVE,সংযোজক
ABJURATION,শপথপূর্বক পরিত্যাগ
ABJURATIONS,প্রত্যাখ্যান
ABJURATORY,প্রত্যাখ্যানমূলক
ABJURE,শপথপূর্বক পরিত্যাগ করা
ABJURED,ত্যাগ
ABJUREMENT,প্রত্যাখ্যান
ABJURER,অস্বীকারকারী
ABJURERS,অস্বীকারকারীরা
ABJURES,শপথপূর্বক পরিত্যাগ করা
ABJURING,শপথপূর্বক পরিত্যাগ করা
ABKHAZIA,আবখাজিয়া
ABKHAZIAN,আব্খাজিয়
ABLACTATE,অ্যাব্ল্যাকটেট
ABLACTATED,অক্ষত
ABLACTATING,অ্যাবল্যাক্টেটিং
ABLACTATION,মলত্যাগ
ABLAQUEATE,অবাঞ্ছিত করা
ABLASTOUS,অবাস্তব
ABLATE,কেড়ে নেত্তয়া
ABLATED,কেড়ে নেত্তয়া
ABLATES,কেড়ে নেত্তয়া
ABLATING,কেড়ে নেত্তয়া
ABLATION,অপসারণ
ABLATIONS,অপসারণ
ABLATITIOUS,অশ্লীল
ABLATIVAL,অবাস্তব
ABLATIVE,অপাদান
ABLATIVE ABSOLUTE,পরম অপাদান
ABLATIVE CASE,অপাদান ক্ষেত্রে
ABLATIVELY,অপ্রয়োজনীয়ভাবে
ABLATIVES,অপাদান
ABLAUT,অপশ্রুতি
ABLAUTS,অপশ্রুতি
ABLAZE,জ্বলন্ত
ABLE,সক্ষম
ABLE OF MAKING EVIL,বিকৃত করিতে সক্ষম
ABLE SEAMAN,সক্ষম নাবিক
ABLE TO BE TAKEN APART,পারবেন সরাইয়া গ্রহণ করা
ABLE TO PAY,দিতে পারবেন
ABLE TO WORK,কাজ করতে সক্ষম
ABLE-BODIED,নীরোগ
ABLE-BODIED SEAMAN,নীরোগ নাবিক
ABLE-MINDED,সক্ষম মনের
ABLE-MINDEDNESS,সক্ষম মানসিকতার
ABLED,সমর্থ
ABLEGATION,অনুমোদন
ABLEND,সক্ষম
ABLENESS,সামর্থ্য
ABLEPHARIA,অ্যাবলফেরিয়া
ABLEPHAROUS,অযোগ্য
ABLEPSIA,অ্যাবলপসিয়া
ABLEPTICAL,সক্ষম
ABLEPTICALLY,যথার্থভাবে
ABLER,সক্ষম
ABLES,সক্ষম
ABLESSE,অ্যাবলসে
ABLEST,সক্ষম
ABLEWHACKETS,অনুসরণ
ABLING,সক্ষম
ABLOCK,একটি ব্লক
ABLOOM,প্রস্ফুটিত
ABLOW,ঘা
ABLUDE,অদৃশ্য হওয়া
ABLUSH,লজ্জায় ভরা
ABLUTE,অধস্তন
ABLUTED,অস্পষ্ট
ABLUTION,অযু
ABLUTIONARY,অজু
ABLUTIONS,অযু
ABLY,দক্ষতার সাথে
ABMHO,অহংকার
ABMODALITIES,আবাসিক ব্যবস্থা
ABMODALITY,অত্যাবশ্যকতা
ABNEGATE,পরিত্যাগ করা
ABNEGATED,প্রত্যাখ্যান করা
ABNEGATES,প্রত্যাখ্যান করে
ABNEGATING,পরিত্যাগ করা
ABNEGATION,প্রত্যাখ্যান
ABNEGATIONS,অস্বীকার
ABNEGATIVE,নেতিবাচক
ABNEGATOR,ত্যাগকারী
ABNEGATORS,অস্বীকারকারীরা
ABNORMAL,অস্বাভাবিক
ABNORMAL CREATURE,বিকটাকার প্রাণী
ABNORMAL PSYCHOLOGY,অস্বাভাবিক মনোবিজ্ঞান
ABNORMALCIES,অস্বাভাবিকতা
ABNORMALCY,অস্বাভাবিকতা
ABNORMALISE,অস্বাভাবিক করে তোলা
ABNORMALISED,অস্বাভাবিক
ABNORMALISING,অস্বাভাবিক করে তোলা
ABNORMALISM,অস্বাভাবিকতা
ABNORMALIST,অস্বাভাবিকতাবাদী
ABNORMALITIES,অস্বাভাবিকতা
ABNORMALITY,অস্বাভাবিকতা
ABNORMALIZE,অস্বাভাবিক করে তোলা
ABNORMALIZED,অস্বাভাবিক
ABNORMALIZING,অস্বাভাবিক করে তোলা
ABNORMALLY,অস্বাভাবিকভাবে
ABNORMALNESS,অস্বাভাবিকতা
ABNORMALS,অস্বাভাবিকতা
ABNORMITIES,অস্বাভাবিকতা
ABNORMITY,বিকটাকার প্রাণী
ABNORMOUS,অসাধারণ
ABNUMERABLE,অসংখ্য
ABO,ধূসর
ABOARD,জাহাজে
ABOARDAGE,জাহাজে ওঠা
ABOCOCKET,অ্যাবোকেট
ABODAH,আবোদা
ABODE,গৃহ
ABODE OF GODS,অমরধাম
ABODED,বাসস্থান
ABODEMENT,বাসস্থান
ABODES,ঘর-বাড়ী
ABODING,ঘৃণার
ABODY,সকলের সাথে
ABOGADO,অ্যাবোগাডো
ABOGADOS,অ্যাবোগাডোস
ABOHM,আহা!
ABOHMS,আহাম্মক
ABOIDEAU,অ্যাবোইডো
ABOIDEAUX,অ্যাবোইডো
ABOIL,ফুটানো
ABOITEAU,অ্যাবোইটো
ABOITEAUX,অ্যাবোয়েটক্স
ABOLETE,বাতিল করা
ABOLISH,উঠান
ABOLISHABLE,বিলুপ্তযোগ্য
ABOLISHED,বিলুপ্ত
ABOLISHER,বাতিল
ABOLISHERS,বিলোপকারীরা
ABOLISHES,দূর
ABOLISHING,বিলুপ্তকরণ
ABOLISHMENT,রদ
ABOLISHMENTS,রদ
ABOLITION,রদ
ABOLITIONARY,বিলোপমূলক
ABOLITIONISE,বিলুপ্ত করা
ABOLITIONISED,বিলুপ্ত
ABOLITIONISING,বিলুপ্তি
ABOLITIONISM,পরিচয়লিপি
ABOLITIONIST,বিলোপবাদী
ABOLITIONISTS,বিলোপবাদীরা
ABOLITIONIZE,বিলুপ্ত করা
ABOLITIONIZED,বিলুপ্ত
ABOLITIONIZING,বিলুপ্তি
ABOLITIONS,রদ
ABOLLAE,আবোলে
ABOMA,আবোমা
ABOMASAL,অস্থির
ABOMASI,আবোমাসি
ABOMASUSI,আবোমাসুসি
ABOMINABILITY,জঘন্যতা
ABOMINABLE,জঘন্য
ABOMINABLE HABIT,কদাচার
ABOMINABLE PRACTICE,কদাচার
ABOMINABLE SNOWMAN,জঘন্য তুষারমানব
ABOMINABLENESS,জঘন্যতা
ABOMINABLY,জঘন্য পাপাচারণ
ABOMINATE,ঘৃণ্য করা
ABOMINATED,ঘৃণ্য
ABOMINATES,ঘৃণা করে
ABOMINATING,ঘৃণায় পরিহার করা
ABOMINATION,কদর্যতা
ABOMINATIONS,সব জঘন্য কাজ
ABOMINATOR,জঘন্য ব্যক্তি
ABOMINATORS,জঘন্য ব্যক্তিরা
ABOMINE,ঘৃণ্য
ABONDANCE,বন্দিদশা
ABONGO,অ্যাবোঙ্গো
ABONNE,অ্যাবোন
ABONNEMENT,ঋণ পরিশোধ
ABORAD,দায়িত্ব রাষ্ট্রকে নিতে
ABORAL,পরাঙ্মুখ
ABORALLY,অবাস্তবভাবে
ABORD,নৌরুটে
ABORIGINAL,আদিবাসী
ABORIGINAL AUSTRALIAN,অস্ট্রেলীয় আদিবাসী
ABORIGINALITY,আদিবাসী
ABORIGINALLY,আদিমভাবে
ABORIGINALS,আদিবাসীদেরকে
ABORIGINARY,আদিবাসী
ABORIGINE,আদিম অধিবাসী
ABORIGINES,আদিবাসীরা
ABORIGINS,আদিবাসী
ABORNING,জন্মগ্রহণকারী
ABORSEMENT,গর্ভপাত
ABORSIVE,ঘর্ষণকারী
ABORT,গর্ভপাত করা
ABORTED,গর্ভপাত করানো
ABORTED FETUS,গর্ভস্রাব
ABORTED FOETUS,গর্ভস্রাব
ABORTER,গর্ভপাতকারী
ABORTERS,গর্ভপাতকারী
ABORTICIDE,গর্ভপাত
ABORTIENT,গর্ভপাতকারী
ABORTIFACIENT,গর্ভপাত ঘটানো
ABORTIN,গর্ভপাত
ABORTING,গর্ভপাত
ABORTION,গর্ভপাত
ABORTION PILL,গর্ভপাত পিল
ABORTIONAL,গর্ভপাতমূলক
ABORTIONIST,গর্ভপাতকারী
ABORTIONISTS,গর্ভপাতকারীরা
ABORTIONS,গর্ভপাত
ABORTIVE,গর্ভপাতহীন
